,estimate,std_err,p_value
const,-315186.51065093104,1489994.3129969924,0.8324695288608104
ERVol12Q,3046026.5152997584,1280608.6705154844,0.01737959987884379
Hedge,-10439.114792491302,53753.35261560534,0.8460161698712547
DER,-26330.3370060344,10552.570444586863,0.012590083921414984
lnTA,21365.622824756414,101553.6306054402,0.8333651836034387
CR,-104093.16087518792,90513.2045663924,0.2501303312104086
