,estimate,std_err,p_value
const,0.7213186124821812,0.0735149731822342,1.0010624040654418e-22
ERVol12Q,0.21175047266157299,0.084236626161704,0.011945245122678328
Hedge,-0.0011650774062575541,0.0029614501974326523,0.6940133724395472
DER,-0.0016411341965802402,0.0004923719814098928,0.0008587833410096611
lnTA,-0.046248132666214775,0.004884234345575305,2.829135522741585e-21
CR,-0.002502867130699483,0.004255699764714306,0.5564509634718293
Post2020,-0.01263770050655889,0.00247657396103605,3.344940245366195e-07
