,estimate,std_err,p_value
const,0.6843526941438173,0.05410775379174685,1.1481780159682853e-36
ERVol12Q,0.4603830274983852,0.13766483947093722,0.0008251099548807498
Hedge,-0.006800684849055199,0.003748839242263231,0.06966579795894574
DER,-0.0013514588892608221,0.00039125038466623425,0.0005519184286563934
lnTA,-0.04448414703328282,0.0035758091165114443,1.579048078915723e-35
CR,0.0019343964652109944,0.002758929381224708,0.4832154870301416
Post2020,-0.0005833258794661327,0.0032346562469985794,0.8568885740529752
ERVol12Q_Post2020,-0.35046947261075656,0.13992021957669928,0.012252731989520963
Hedge_Post2020,0.0,0.0,
