variable,adf_stat,p_value,lags,nobs
ROA,-7.467527815168894,5.157204126591738e-11,0,49
NetIncome,-7.290521443372439,1.4212212150210626e-10,0,49
ERVol12Q,-2.896325197658827,0.04577699883839029,1,48
CFV12Q,-1.3437215365066422,0.6089400224341033,0,49
