,estimate,std_err,p_value
const,0.5635720935316075,0.04685349549655531,2.5202897192305186e-33
ERVol12Q,-0.06938405788222352,0.045033777442331856,0.12338702161272087
Hedge,-0.03657137195542486,0.006570035463016357,2.6007258322025822e-08
ERVol12Q_Hedge,0.8875424063248867,0.14343466865641968,6.101677620540743e-10
DER,-0.001648523681793973,0.0005131857319641077,0.0013166147293227006
lnTA,-0.035953498121124514,0.003063984194486928,8.509628597499221e-32
CR,0.008851794366201593,0.0025776334493477038,0.0005945730378194413
