,estimate,std_err,p_value
const,-1078332.4440017901,1711897.168542534,0.528756795611329
ERVol12Q,1855673.63883678,2065470.2422519496,0.36895810075812563
Hedge,36834.29050752032,60232.87648153229,0.5408478897621394
DER,-31552.5435621554,10327.812597378086,0.0022498234758067193
lnTA,71104.7126779397,112117.12054192543,0.5259501048620308
CR,-56493.336572486005,116604.90555706972,0.628041653062261
Post2020,85779.36360824243,121115.94966888598,0.4787951872219176
ERVol12Q_Post2020,14745.112417823577,2829320.3624662743,0.9958418125972093
Hedge_Post2020,0.0,0.0,
