,estimate,std_err,p_value
const,-0.4705831885447228,0.5573650728038336,0.39850192886223956
ERVol12Q,0.5471348528951343,0.6604113919195578,0.4074010973906481
Hedge,0.010102744964303603,0.01988882245695388,0.611480735679182
DER,-0.009594231153084132,0.00321197660286246,0.0028171335753434668
lnTA,0.03148398322819146,0.03668818095548909,0.39080932897628473
CR,-0.02128049862207751,0.03624877138642525,0.5571579472576424
Post2020,0.020923240255233358,0.035315753072717095,0.5535412869347109
ERVol12Q_Post2020,0.05495726089673128,0.8761911764934085,0.9499871532320127
Hedge_Post2020,0.0,0.0,
