,estimate,std_err,p_value
const,586055.7679321284,3890764.186312877,0.8802696308061918
ERVol12Q,500796.0363538161,1788587.6237015915,0.7794811502192962
Hedge,-3.9462406264628025e-10,1.5060478908044523e-09,0.7933012139197317
DER,-24558.406211017904,12589.850843285476,0.051098565818349345
lnTA,-37910.16138278268,262151.67336590006,0.8850175728125105
CR,114028.11660249936,80260.49378535517,0.155396625417586
