,estimate,std_err,p_value
const,-191612.478169728,1122387.6505830225,0.8644450159670602
ERVol12Q,2499106.2601954276,1116620.0381714776,0.025214595812533193
Hedge,-23474.858087474266,41689.22288118608,0.5733723988695367
DER,-20803.60730989045,8937.690204595943,0.019931928744650863
lnTA,11998.42994223558,76250.30460281252,0.8749644225397223
CR,-67041.93215674754,60566.47160974412,0.2683307068356088
