,estimate,std_err,p_value
const,-395850.3540118707,1595015.7354327433,0.8039954559288512
ERVol12Q,2855020.487762696,1421305.3891320927,0.044565647448352695
Hedge,-85017.05926331764,152791.32625075642,0.5779197013487506
ERVol12Q_Hedge,1564974.0078927055,3704660.997741856,0.6727084142371906
DER,-24997.870544867525,11084.947085909873,0.024125884364277785
lnTA,26653.440951154702,108345.52982302092,0.8056790844131025
CR,-96412.8095235245,85223.72830120155,0.2579327658713756
