variable,adf_stat,p_value,lags,nobs
D_CFV12Q,-5.642518506701822,1.028772120497265e-06,0,48
D_DER,-5.7852918923037775,5.015879540093257e-07,2,46
D_lnTA,-7.251222696614181,1.7779745454563417e-10,0,48
D_CR,-7.459424276877495,5.403093822762103e-11,1,47
