,estimate,std_err,p_value
const,3022811.1309138434,2820085.374898801,0.2837710641167368
ERVol12Q,-2393289.4144536215,3312666.6585099166,0.47000795047828325
Hedge,77661.38212299674,68812.73807208806,0.2590707448601135
DER,-121381.81506030937,74095.27566108458,0.10138297853721069
lnTA,-159156.30401345954,159337.98132653983,0.31786261292482487
CR,-538772.6628693824,417522.70974238444,0.19691068324615713
