,estimate,std_err,p_value
const,-1079887.6910750065,1580972.3626700148,0.4945734424284276
ERVol12Q,1866134.2217357364,1260113.4165784689,0.1386263994889747
Hedge,36597.186646041664,59952.1618993455,0.5415704999828403
DER,-31540.35620974686,9816.62871845288,0.0013137827504089785
lnTA,71178.927890658,106373.66835267247,0.5034058674748598
CR,-56306.649983030686,102687.31772327295,0.5834645758850543
Post2020,86286.52078709549,46610.15145929832,0.06413520635475768
