,estimate,std_err,p_value
const,-1752075.874094172,1738173.6533075112,0.3134553373312098
ERVolM3M,3274951.4475938785,1929254.4207382367,0.08959805214388478
Hedge,29144.58229215561,58410.95871083801,0.6178093687597381
DER,-17932.76188243604,15855.50201682248,0.2580500716409371
lnTA,119317.9975833594,117894.37526221325,0.311502001103395
CR,-71115.71115571685,99867.42060726586,0.47640210443063047
